Type,Start,End,Name,Calendar,Location,Description,"Hebrew Date",Owner,Contact,Status,"Admin Note","Event ID","Additional Occurrence of Event ID","Resource Of","Resource Quantity","Resource Of Event ID","Resource Of Schedule ID"
"Schedule Rule","2025-07-01 06:45:00",,Shacharis,,,,"5 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-01 09:13:17",,"Zman Krias Shma",,,,"5 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-01 20:30:00",,Shkia,,,,"5 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-01,,"5 Tammuz 5785",,,,"5 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-01 05:27:35",,Sunrise,,,,"5 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-01 20:30:23",,Sunset,,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 03:39:13",,"Alos Hashachar",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 04:25:16",,"Earliest Tallis",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 05:27:35",,"Netz (Sunrise)",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 09:13:00",,"Latest Shema",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 10:28:31",,"Zman Tefillah",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 12:58:59",,"Chatzos (Midday)",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 13:36:36",,"Mincha Gedola",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 17:22:18",,"Mincha Ketana",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 18:56:20",,"Plag HaMincha",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 20:30:23",,"Shkiah (Sunset)",,,,"5 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-01 21:20:38",,"Tzais Hakochavim",,,,"5 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-02 06:45:00",,Shacharis,,,,"6 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-02 09:13:37",,"Zman Krias Shma",,,,"6 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-02 20:30:00",,Shkia,,,,"6 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-02,,"6 Tammuz 5785",,,,"6 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-02 05:28:05",,Sunrise,,,,"6 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-02 20:30:15",,Sunset,,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 03:39:55",,"Alos Hashachar",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 04:25:51",,"Earliest Tallis",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 05:28:05",,"Netz (Sunrise)",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 09:13:00",,"Latest Shema",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 10:28:48",,"Zman Tefillah",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 12:59:10",,"Chatzos (Midday)",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 13:36:45",,"Mincha Gedola",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 17:22:17",,"Mincha Ketana",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 18:56:16",,"Plag HaMincha",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 20:30:15",,"Shkiah (Sunset)",,,,"6 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-02 21:20:25",,"Tzais Hakochavim",,,,"6 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-03 06:35:00",,Shacharis,,,,"7 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-03 09:13:59",,"Zman Krias Shma",,,,"7 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-03 20:30:00",,Shkia,,,,"7 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-03,,"7 Tammuz 5785",,,,"7 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-03 05:28:37",,Sunrise,,,,"7 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-03 20:30:05",,Sunset,,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 03:40:40",,"Alos Hashachar",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 04:26:29",,"Earliest Tallis",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 05:28:37",,"Netz (Sunrise)",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 09:13:00",,"Latest Shema",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 10:29:06",,"Zman Tefillah",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 12:59:21",,"Chatzos (Midday)",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 13:36:54",,"Mincha Gedola",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 17:22:16",,"Mincha Ketana",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 18:56:10",,"Plag HaMincha",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 20:30:05",,"Shkiah (Sunset)",,,,"7 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-03 21:20:10",,"Tzais Hakochavim",,,,"7 Tammuz 5785",,,,,,,,,,
"All Day Event",2025-07-04,,"Independence Day",,,,"8 Tammuz 5785",,,confirmed,,0,,,,,
"Schedule Rule","2025-07-04 06:45:00",,Shacharis,,,,"8 Tammuz 5785",,,confirmed,,64851,,,,,
"Schedule Rule","2025-07-04 09:14:20",,"Zman Krias Shma",,,,"8 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-04 18:57:00",,"Plag Mincha",,,,"8 Tammuz 5785",,,confirmed,,126932,,,,,
"Schedule Rule","2025-07-04 20:11:00",,Mincha,,,,"8 Tammuz 5785",,,confirmed,,107910,,,,,
"Schedule Rule","2025-07-04 20:11:00",,"Candle Lighting",,,,"8 Tammuz 5785",,,confirmed,,,,,,,
"Schedule Rule","2025-07-04 20:29:00",,Shkia,,,,"8 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-04,,"8 Tammuz 5785",,,,"8 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-04 05:29:10",,Sunrise,,,,"8 Tammuz 5785",,,,,,,,,,
